,VARIETY,BOTANICAL_NAME,PRONUNCIATION,ALIASES,DESCRIPTION,ZONE,MIN_TEMP,DIFFICULTY,HEIGHT,SPREAD,GROWTH_RATE,COMPANION_PLANTS,BLOOMING_FRUITING,SUMMER_FOLIAGE,FALL_FOLIAGE,FLOWER_COLOR,USES_CHARACTERISTICS,PRICE,DEER_RESISTANT,DROUGHT_TOLERANT,ATTRACTS_POLLINATORS,GROUND_COVER,OTHER
1098,Kentucky Blue Pole Bean,Phaseolus vulgaris,fah-SEE-oh-lus vul-GAR-iss,,"Kentucky Wonder Pole Bean is a heirloom, tender warm weather annual vegetable that is native to California. At maturity, this plant reaches the height of 72-96” and features long vines, green spade-shaped leaves, 7-10” green snap bean pods, and tiny flowers. This plant can be grown in a container.",,40°,,"72-96""",36-48”,,"All beans fix nitrogen in the soil. Plant with Brassicas, carrots, celery, chard, corn, cucumber, eggplant, peas, potatoes, radish, and strawberries. Avoid planting near chives, garlic, leeks, and onions. Pole beans and beets stunt each other’s growth.",67 Days to harvest,Green,Green,,Heirloom; Attracts bees and butterflies; Culinary; Containers; Raised Beds; Snap Bean Stringless Pods; White seeded;,0,,,,,
1099,Lazy Housewife Heirloom Bean,Phaseolus vulgaris,fah-SEE-oh-lus vul-GAR-iss,,"Plants bear green, entirely stringless pods of exceedingly fine, buttery flavor when cooked. When dried, the beans are perfectly round and white, like little pearls, with a heavier, richer, creamy taste. For longer cropping periods, greater yields, and easier harvesting, use a pole or trellis system. Pick them young for snap beans (80 days), or let them dry for shelling beans.",,40°,Easy,8-9',"24""",,"All beans fix nitrogen in the soil. Plant with Brassicas, carrots, celery, chard, corn, cucumber, eggplant, peas, potatoes, radish, and strawberries. Avoid planting near chives, garlic, leeks, and onions. Pole beans and beets stunt each other’s growth.",80 Days to harvest,Green,Green,,Heirloom; Pole bean; 4 inch pod; Attracts bees; Native species; Attracts brids; Culinary; Containers; Raised Beds,0,,,,,
1100,Jonkheer Van Tets Red Currant,Ribes rubrum,RYE-bees ROO-brum,,"This early variety is known for its highly rated flavor and fruit size. Jonkheer van Tets will outperform other early varieties. Being early, it may be susceptible to late frosts, so site selection is important. Special pruning may also be necessary. The erect bush is easy to pick and has mildew resistance.",3a-7b,28°,,"36-48""","48-60""",,"Good companions: Chamomile, Mint, Chives, Nasturtiums, Kiwi, Oregano, Marigolds, Tarragon, Marjoram, Fruit trees. Bad Companions: Potatoes",Mid-season,Green,Green,White,Excellent flavor; Good freezing quality; Will bear fruit 1 year after planting;,14,,,,,
1101,Pink Champagne Currant,Ribes rubrum,RYE-bees ROO-brum,,"A cross between a red and white currant. Attractive, translucent, pink-blush berries are born on medium long cluster, are sweeter than reds. Excellent resistance to leaf diseases. This is the tastiest currant on the market for fresh eating!  Pink Champagne currant is a vigorous upright bush, free of leaf diseases, with a beautiful translucent pink fruit. Pink Champagne is easy to grow, produces fruit of high quality and good flavor.",44627,28°/-40°,Easy,36-60”,24-48”,,"Good companions: Chamomile, Mint, Chives, Nasturtiums, Kiwi, Oregano, Marigolds, Tarragon, Marjoram, Fruit trees. Bad Companions: Potatoes",Mid-season,Green,Green,,Excellent flavor; Good freezing quality; Will bear fruit 1 year after planting;,14,,,,,
1102,Lingonberry,Vaccinium vitis-idaea,,"Cowberry, Foxberry, Rock Cranberry","Native to the arctic and sub-arctic region but do exceptionally well in the United States. These plants will grow to about 7-8 inches high and spread about 3 feet wide, providing a solid barrier for landscaping. It has oval shaped leaves that are bright green in color, blooms light pink flowers in the spring and produces small round red berries in the fall.",44628,-40°,,7-8”,36”,,,Late Season,,,,,16,,,,,
1103,Big Max Pumpkin,cucurbita,kyoo-KUHR-bee-tah,,"Up to 70 inches around and weighing as much as 100 lbs. To achieve outsize results, provide with plenty of moisture, fertilizer, and space, limiting vines to one or two pumpkins. Yields round to flattened-round fruits up to 6  wide with bright-orange skin and 4 thick yellow-orange flesh. Delicious for pies and breads. Heirloom.""",,40°,,,,,,120 days to harvest,,,,,0,,,,,
1104,Red Swan Bush Bean,Phaseolus vulgaris,fah-SEE-oh-lus vul-GAR-iss,,"Rosy red-purple, stringless pods stand out on the vigorous green plants—and they make harvest easy. A cross between a purple snap bean and pinto bean, Red Swan's vigorous plants produce high yields of Romano-type, flattened pods that are meaty and flavorful. They're wonderful when steamed, canned or cooked into your favorite recipes. Their color turns bright green with cooked. The colorful pods and pretty bicolor, pink and white flowers make Red Swan Bush Bean very ornamental and a good choice for the edible landscape.",,40°,,16-20”,"18""",,"All beans fix nitrogen in the soil. Plant with Brassicas, carrots, celery, chard, corn, cucumber, eggplant, peas, potatoes, radish, and strawberries. Avoid planting near chives, garlic, leeks, and onions. Pole beans and beets stunt each other’s growth.",55 days to harvest,Green,Green,Pink,"Heirloom; Open Pollinated; Flattened, Romano-type, stringless pods; Pretty; Containers; Raised Beds",0,,,,,
1105,Taylor Dwarf Horticultural Bush Bean,Phaseolus vulgaris,fah-SEE-oh-lus vul-GAR-iss,"Speckeled Bays, Cranberry Bean",The plants of 'Taylor's Dwarf Horticultural' beans are semi-runner type in growth habit with fourteen to eighteen inch long runners. It does well in cool climates. The seeds are tan streaked with dark-red. They are good early as a snap bean but generally used as green shell beans. An early producer of creamy pods with speckles of red.,,40°,,18-24”,"24""",,"All beans fix nitrogen in the soil. Plant with Brassicas, carrots, celery, chard, corn, cucumber, eggplant, peas, potatoes, radish, and strawberries. Avoid planting near chives, garlic, leeks, and onions. Pole beans and beets stunt each other’s growth.",60-70 Days to harvest,Green,Green,White,Heirloom; Open Pollinated; Bush; Shell bean; Dry Bean; Runner Bean; Delicious; 5-6 inch pods.,0,,,,,
1106,Tongues of Fire Bush Bean,Phaseolus vulgaris,fah-SEE-oh-lus vul-GAR-iss,Borlotto Bush Bean,"lso known as Borlotto Bush Bean, this is one of the most striking and colorful beans we have seen with incredible eating quality to match. This heirloom is a perfect dual-purpose variety. The pods can be eaten at green bean stage or left to mature into a silky, creamy cooked bean. An edible ornamental, the tidy bush plants are dripping with flame-striped pods. These make the wonderful baked beans as well! This old bean comes from Tierra del Fuego at the southern tip of South America.",,40°,,"24""","24""",,"All beans fix nitrogen in the soil. Plant with Brassicas, carrots, celery, chard, corn, cucumber, eggplant, peas, potatoes, radish, and strawberries. Avoid planting near chives, garlic, leeks, and onions. Pole beans and beets stunt each other’s growth.",65-70 Days to harvest,Green,Green,White,"Heirloom; Open Pollinated; Containers; Raised Beds; 6-7 inch, Stringless Shell Bean or Dried Bean",0,,,,,
1107,Grande Rio Verde Tomatillo,Physalis ixocarpa,,,"Tall, branching annual bears tasty berries. The fruit is surrounded by a papery husk, which dries and falls off when ripe. Mildly tart, sweet-sour, but overall pleasant flavor. 3-4 oz.",,45°,,4-Mar,44624,,,60 Days to harvest,,,,,4,,,,,
1108,Super Verde Tomatillo,Physalis ixocarpa,,,"Tall, branching annual bears tasty berries. The fruit is surrounded by a papery husk, which dries and falls off when ripe. Mildly tart, sweet-sour, but overall pleasant flavor. Plants produce heavy, early yields. 3-6 oz.",,45°,,4-Mar,44624,,,60 Days to harvest,,,,,3.5,,,,,
1109,Dwarf Grey Sugar Peas Shoots,Pisum sativum,Piz-UM sah-TEE-vum,,"Red flowers for shoots. An attractive addition to salad mixes, Dwarf Grey Sugar is the preferred variety for both taste and tenderness. A great choice for restaurant sales. 28 inch vines. Edible Flowers: The flowers, with their mild and pea-like flavor, are a popular choice for brightening up salad mix. They can also be used in micro mix salads, stir fries, or as a garnish.",,16°,,"28""",6-10”,,"Superb companions for beans, carrots, celery, corn, cucumber, eggplant, parsley, peppers. potatoes, radish, spinach, strawberries and turnips. Avoid planting peas near onions.",57 Days to harvest,Green,Green,Red,Heirloom; Open Pollinated; Cold Tolerant; Edible flowers; Delicious; Container; Raised Beds; 10 Days to harvest for shoots; 57 days to harvest for snow pea pods,0,,,,,
1110,Dwarf Grey Sugar Snow Peas,Pisum sativum,Piz-UM sah-TEE-vum,,"Dwarf variety of snow pea that stays manageable at 3 feet tall and thrives in cool, wet climates. Prized for its plump, tender pods, harvest when young and continue picking to promote further fruiting. Eat Sugar Snow Peas raw straight from the garden, stir fry or steam them for a sweet and delicious addition to dinner.",,16°,,"24-36""",6-10”,,"Superb companions for beans, carrots, celery, corn, cucumber, eggplant, parsley, peppers. potatoes, radish, spinach, strawberries and turnips. Avoid planting peas near onions.",60-90 Days to harvest,Green,Green,Red,Heirloom; Open Pollinated; Cold Tolerant; Edible flowers; Delicious; Container; Raised Beds,0,,,,,
1111,Dwarf White Sugar Snow Pea,Pisum sativum,Piz-UM sah-TEE-vum,,"Dwarf White Sugar Pea pods are sweet, tender, and flat measuring just 2-2.5 inches long. Pick early and often to promote growth, this is a beautifully tasting pod in stir fries as it is completely stringless! Dwarf size (about 3' high) makes it perfect for smaller gardens, expect harvest after 50-60 days. Been growing in gardens since the 19th century!",,16°,,"24-30""","4-8""",,"Superb companions for beans, carrots, celery, corn, cucumber, eggplant, parsley, peppers. potatoes, radish, spinach, strawberries and turnips. Avoid planting peas near onions.",60-90 Days to harvest,Green,Green,White,Heirloom; Open Pollinated; Containers; Raised beds; Cold tolerant; Highly Productive; Delicious,0,,,,,
1112,Little Crunch Snap Pea,Pisum sativum,Piz-UM sah-TEE-vum,,"Little SnapPea Petite sets dainty, sweet, crunchy pods on a full-sized plant. Productive plants grow well in large containers, small gardens, or large gardens. Expect lots of crunchy, sweet, juicy, edible pod peas in about 65 days. In-ground plants will reach 80 inches, container-grown plants will be smaller. For Pea shoots, this variety grows quickly (10 days) and has delicate round leaves and fresh flavor-tastes just like spring peas! The texture is crisp but tender, and plants have long internodes and smallish leaves.",,16°,,"20""","12-18""",,"Superb companions for beans, carrots, celery, corn, cucumber, eggplant, parsley, peppers. potatoes, radish, spinach, strawberries and turnips. Avoid planting peas near onions.",65 days to harvest,Green,Green,White,"Open Pollinated; Sweet, crunchy; Snap pea; Raised Beds; Containers",0,,,,,
1113,Little Marvel Sweet Shelling Peas,Pisum sativum,Piz-UM sah-TEE-vum,,"The plant produces heavy yields of 3 inch long, dark green sweet peas. The pods have 6 to 8 tender and flavorful peas. Perfect fresh in salads, in soups, and used in cooking. Winner of the RHS Award of Garden Merit. Easy to shell by hand. Suitable for canning and freezing. The plant doesn't require staking. An excellent choice for home gardens.",,16°,,12-24”,"10-12""",,"Superb companions for beans, carrots, celery, corn, cucumber, eggplant, parsley, peppers. potatoes, radish, spinach, strawberries and turnips. Avoid planting peas near onions.",58 Days to harvest,Green,Green,White,Heirloom; Open Pollinated; Best Variety; Good Canning Variety; Good Freezing Variety; High Yields,0,,,,,
1114,Little Purple Snow Pea,Pisum sativum,Piz-UM sah-TEE-vum,,"Topping out at only 24 inches tall, this dwarf snow pea is as attractive as it is tasty. A prime candidate for container planting, Little Snowpea Purple’s sweet, refreshingly crisp pods are preceded by showy bicolor purple flowers.",44601,24°,,"24""","3-4""",,"Superb companions for beans, carrots, celery, corn, cucumber, eggplant, parsley, peppers. potatoes, radish, spinach, strawberries and turnips. Avoid planting peas near onions.",50 days to harvest,Green,Green,Purple,Open Pollinated; Cold Tolerant; Dwarf; Containers; Raised Beds,0,,,,,
1115,Little White Snow Pea,Pisum sativum,Piz-UM sah-TEE-vum,,"Pea season blasts off at breakneck speed with this incredibly early variety. Little Snowpea White starts producing its bright green, tender pods in just a few short weeks and continues its unwavering harvest for an extended season. The 40 inch tall plants produce crunchy pods that are delicious raw, steamed or stir-fried.",44601,24°,,"40""","3-4""",,"Superb companions for beans, carrots, celery, corn, cucumber, eggplant, parsley, peppers. potatoes, radish, spinach, strawberries and turnips. Avoid planting peas near onions.",30 Days to harvest,Green,Green,White,Open Pollinated; Cold Tolerant; Dwarf; Containers; Raised Beds,0,,,,,
1116,Premium Shelling Peas,Pisum sativum,Piz-UM sah-TEE-vum,,Popular early pea. Almost as early as Strike and a high-quality pea with similarly sweet flavor. Pods avg. 3–3 1/2 inches and contain about 7 to 8 peas each. The 30 inch vines produce 1 to 2 pods per node.,,16°,,"30""","4-8""",,"Superb companions for beans, carrots, celery, corn, cucumber, eggplant, parsley, peppers. potatoes, radish, spinach, strawberries and turnips. Avoid planting peas near onions.",57 Days to harvest,Green,Green,White,Open Pollinated; Containers; Raised Beds; Cold Tolerant; Delicious,0,,,,,
1117,Sugar Sprint Snap Pea,Pisum sativum,Piz-UM sah-TEE-vum,,These are delicious and form a 3-inch pod that has minimal strings. The vines stay under 2 feet and do not require supports. This variety of snap peas is heat tolerant and resistant to powdery mildew.,,16°,,"24""","10-12""",,"Superb companions for beans, carrots, celery, corn, cucumber, eggplant, parsley, peppers. potatoes, radish, spinach, strawberries and turnips. Avoid planting peas near onions.",58 Days to harvest,Green,Green,White,Heirloom; Open Pollinated; Delicious; Early; Cold tolerant; Containers; Raised Beds,0,,,,,
1118,Tom Thumb Shelling Peas,Pisum sativum,Piz-UM sah-TEE-vum,,"Just like its name, the Tom Thumb Pea is a tiny bush pea plant perfect for containers! If you are hurting for space but want to grow some delicious peas, try the Tom Thumb! This pea variety produces pea pods on a tiny pea plant.",,20°,,"18""","18""",,"Superb companions for beans, carrots, celery, corn, cucumber, eggplant, parsley, peppers. potatoes, radish, spinach, strawberries and turnips. Avoid planting peas near onions.",50 days to harvest,Green,Green,White,Heirloom; Open Pollinated; Cold Tolerant; Edible flowers; Delicious; Container; Raised Beds,0,,,,,
1119,Wando Shelling Pea,Pisum sativum,Piz-UM sah-TEE-vum,,"Productive warm weather pea with cold tolerance. The sweetness of garden peas is legendary. Wando is the most productive pea in warm weather. Its also tolerant of cold, so it can be planted early. The blunt, dark green pods with 7 to 8 medium-sized peas are great fresh or frozen.",,16°,,"24-30""","6-8""",,"Superb companions for beans, carrots, celery, corn, cucumber, eggplant, parsley, peppers. potatoes, radish, spinach, strawberries and turnips. Avoid planting peas near onions.",68 Days to harvest,Green,Green,White,Heirloom; Cold Tolerant; Heat Tolerant; Shelling pea; Containers; Raised Beds,0,,,,,
1120,Champion Radish,Raphanus sativus,Raf-ANN-us sa-TIV-uhs,,"The size of each Champion Radish measures at about 2 inches in diameter. High in vitamin C this heirloom variety radish has attractive coloring and a crisp, tender flesh. This quick-growing radish is perfect for your garden or greenhouse.",,24°,,"4-5""","2-3""",,"Plant radishes near beans, beets, celeriac, chervil, cucumber, lettuce, mint, parsnip, peas, spinach, squash, and tomatoes. Avoid planting near agastache or potatoes. It is said that planting 3 or 4 icicle radishes around the mound where you plant squash, and allowing them to grow and bloom, will prevent most pests of squash and cucumber.",28 Days to harvest,Green,Green,,Heirloom; Safe for bees; Containers; Raised Beds;,0,,,,,
1121,Cherry Belle Radish,Raphanus sativus,Raf-ANN-us sa-TIV-uhs,,"Selected for top quality and yields, this cherry-red radish with a snow white interior has become the standard for salad gardens. Plant early, and these ¾–1 inch round, crisp radishes will be the first ones to the table.",,24°,Easy,"1-4""","1-3""",Fast,"Plant radishes near beans, beets, celeriac, chervil, cucumber, lettuce, mint, parsnip, peas, spinach, squash, and tomatoes. Avoid planting near agastache or potatoes. It is said that planting 3 or 4 icicle radishes around the mound where you plant squash, and allowing them to grow and bloom, will prevent most pests of squash and cucumber.",24 Days to harvest,Green,Green,,Open Pollinated; Delicious; Early; Raised Beds; Containers,0,,,,,
1122,Easter Egg Blend Radish,Raphanus sativus,Raf-ANN-us sa-TIV-us,,"Easter Egg Blend is a mix of red, white, rose pink, purple, and bi-color (red top, white base) radishes. As a spring radish, they are best grown in the cool periods of spring and fall. Eat fresh in salads or add a bit of crunch and color to sandwiches. A good choice for gardening with kids.",,24°,,"5-8""","1""",,"Plant radishes near beans, beets, celeriac, chervil, cucumber, lettuce, mint, parsnip, peas, spinach, squash, and tomatoes. Avoid planting near agastache or potatoes. It is said that planting 3 or 4 icicle radishes around the mound where you plant squash, and allowing them to grow and bloom, will prevent most pests of squash and cucumber.",30 Days to harvest,Green,Green,,"Open Pollinated; Container Garden; Easy to grow; Crisp, Crunchy and Peppery flavor;",0,,,,,
1123,French Breakfast Radish,Raphanus sativus,Raf-ANN-us sa-TIV-uhs,,"French breakfast produces an oblong radish that is approximately 7-8 cm (3”) long and 2 cm (¾-1”) in diameter.  They have rich scarlet red roots with white tips that are crisp, mild and surprisingly sweet. A favourite radish type that has stood the test of time.  Although frost hardy, roots will not tolerate freezing. Irrigation is essential for best flavour and root consistency.",,24°,,"5-6""","2-3""",,"Plant radishes near beans, beets, celeriac, chervil, cucumber, lettuce, mint, parsnip, peas, spinach, squash, and tomatoes. Avoid planting near agastache or potatoes. It is said that planting 3 or 4 icicle radishes around the mound where you plant squash, and allowing them to grow and bloom, will prevent most pests of squash and cucumber.",25 Days to harvest,Green,Green,,Heirloom; Containers; Raised Beds; Delicious; Fast,0,,,,,
1124,German Giant Radish,Raphanus sativus,Raf-ANN-us sa-TIV-uhs,,"Large, globe-shaped radishes, 1 1/2 inches across with crimson skin and mild white flesh. Firm, crisp, mild flavor. Attains a large size without becoming hollow to pithy.",,24°,,"4-12""","3""",,"Plant radishes near beans, beets, celeriac, chervil, cucumber, lettuce, mint, parsnip, peas, spinach, squash, and tomatoes. Avoid planting near agastache or potatoes. It is said that planting 3 or 4 icicle radishes around the mound where you plant squash, and allowing them to grow and bloom, will prevent most pests of squash and cucumber.",29 Days to harvest,Green,Green,,"Heirloom; Globe shaped; 1.5 inch diameter; Containers; Raised Beds; Thrives in cool weather; Juicy, tender-crisp; Mild",0,,,,,
1125,Sprouting Mix,"Raphanus sativus, etc.",Raf-ANN-us sah-TIV-uhs,,"Various shades of green leaves and pink and white stems with a crisp, mildly spicy flavor. Mix includes: broccoli, radish, alfalfa, and kale.",,32°,,1-2”,"2-4""",,,4-6 Days to harvest,Green,Green,,"Organic Seeds; Broccoli, radish, alfalfa and kale.",0,,,,,
1126,Canada Red Rhubarb,Rheum,,,"Produces large rich red stems on a hardy plant, stems are excellent for cooking and baking pies; harvest throughout summer; only stems are edible, other plant parts are poisonous. DO NOT EAT THE LEAVES. Harvest after second growing season.",4,-30°,,24-36”,24-36”,,,,,,,,12,,,,,
1127,Crimson Cherry Rhubarb,Rheum,,,Crimson Cherry- Reddest variety. It produces brightly colored red stalks with the unique characteristic of being red throughout under normal temperature and moisture conditions of the Pacific Northwest. Best commercial variety in the Pacific Northwest.,4,-30°,,4,4,,,,,,,,15,,,,,
1128,Valentine Red Rhubarb,Rheum,,,"Beautiful dark red stalks make zesty, satisfying sauces or pies. Much less acid, so it is sweeter to the taste and needs much less sugar than other rhubarbs. It grows faster. Pull stalks a year sooner than with other varieties. DO NOT EAT THE LEAVES.",4,-30°,,24-30”,18-36”,,,,,,,,12,,,,,
1129,Victoria Rhubarb,Rheum,,,"The large, tender, juicy rosy-red stalks gradually turn pink and then solid green towards the tips. Sweeter and milder than other varieties. Not tough and stringy. When harvesting gently pull the stem from the crown area of the root so you remove the stems base. Cutting off the stems with a knife leaves a stump to rot. DO NOT EAT THE LEAVES!",4,-30°,,36-48”,24-36”,,,,,,,,6,,,,,
1130,Arp Hardy Rosemary,Rosmarinus officinalis,,,Evergreen shrub with pine needle-like leaves.Intensely fragrant leaves have a distinctive flavor. Attractive in the garden and containers. May be wintered indoors in pots; needs high humidity. An especially hardy variety.,,20°,,36-48”,36-48”,,"Cabbage, Beans; Carrots",,,,,,4,,,,,
1131,Hill Hardy Rosemary,Rosmarinus officinalis,,,Evergreen shrub with pine needle-like leaves.Intensely fragrant leaves have a distinctive flavor. Attractive in the garden and containers. May be wintered indoors in pots; needs high humidity. An especially hardy variety.,,20°,,24-36”,12-36”,,"Cabbage, Beans; Carrots",,,,,,4,,,,,
1132,Huntington Carpet Rosemary,Rosmarinus officinalis,,,Evergreen shrub with pine needle-like leaves.Intensely fragrant leaves have a distinctive flavor. Attractive in the garden and containers. May be wintered indoors in pots; needs high humidity.,,20°,,12-24”,44659,,"Cabbage, Beans; Carrots",,,,,,4,,,,,
1133,Apache Blackberry,Rubus fruticosus,,,"Thornless and heat tolerant. The semi-erect canes produce a prolific crop of large, sweet and juicy blue-blackberries in midsummer. Small, soft-pink flowers appear on second year wood.",44656,-25°,,,,,,,,,,Tender Perennial,5,,,,,
1134,Anne Raspberry,Rubus idaeus,,,"Fruit holds a pale yellow color and is highly productive. Anne s excellent size, appearance, and very sweet flavor make it an excellent choice for a yellow fall bearer.",44658,-40°,,4-Mar,44624,,,Fall bearing,,,,,10,,,,,
1135,Boyne Raspberry,Rubus idaeus,,,"Boyne has medium sized, tender, juicy, dark red berries with a sweet aromatic flavor. These berries are especially good for jams, jellies, and freezing. Boyne is a very productive bush, with strong, sturdy canes.",44599,-50°,,60-68”,24-36”,,,Early; mid-season fruit,,,,,10,,,,,
1136,Canby Raspberry,Rubus idaeus,,,"Canby is a thornless Red Raspberry with vary large, sweet, firm, juicy, bright red berries of fine quality. The canes are vigorous and productive growers. Canby does show a high level of virus resistance and aphid immunity. It is sensitive to root rot and not adapted to heavy soils, so good soil drainage is required. Canby grows best in areas with cooler summers.",44658,-30°,,,24-30”,,,June-July,,,,,10,,,,,
1137,Caroline Raspberry,Rubus idaeus,,,"Standard raspberry for fall bearing with great color, flavor, firmness and freezing quality. Luscious flavor and heavy yields of juicy, sweet, red fruits. Space 3  apart in rows 6  apart. Plants produce berries on old canes in early summer and on new canes from August to frost. Vigorous and hardy. Self-pollinating.",4,-30°,,5-Apr,24-30”,,,June-Frost,,,,,10,,,,,
1138,Chilcoten Raspberry,Rubus idaeus,,,"A Floricane variety, Raspberry Chilcotin fruits on the previous year s growth.",4,-30°,,,24-30”,,,June-July,,,,,10,,,,,
1139,Fall Gold Raspberry,Rubus idaeus,,,"Canes are vigorous, productive, and adaptable to a wide variety of soils. Not recommended for extreme northern areas. First crop ripens in July. Second crop from late August until frost.",44656,-25°,,4-Mar,24-30”,,,June-Frost,,,,,10,,,,,
1140,Heritage Raspberry,Rubus idaeus,,,"The canes are tall for an everbearing raspberry, but are very sturdy and seldom require support. Strong, vigorous, very productive, suckers prolifically and spreads rapidly. Fairly tolerant of heavier soils but will develop Root Rot in poorly drained areas. Heritage has a moderate summer crop with heavier, superior fall crop.",44660,-30°,,6-May,44624,,,June-Frost,,,,,10,,,,,
1141,Latham Raspberry,Rubus idaeus,,,"The standard for spring-bearing, red raspberries; extremely popular and widely grown. Latham has large to very large, round, often 1”, deep red fruits. With wonderful texture with somewhat non-cohesive full flavored and aromatic fruit. Latham ripens evenly for three weeks in late June and early July.",44628,-40°,,5-Apr,44595,,,June-July,,,,,10,,,,,
1142,Nova Raspberry,Rubus idaeus,,,,44628,-40°,,4-Mar,44624,,,July-August,,,,,10,,,,,
1143,Boysenberry,Rubus ursinus × Rubus idaeus,,,"Has far fewer and smaller thorns than other varieties. Boysenberries parentage includes blackberry, dewberry, loganberry, and raspberry. Plant them in a container and over winter in a cold dark place. You can expect fruit as early as its second season.",5,-20°,,6-May,44687,,,Mid-season fruit,,,,,5,,,,,
1144,Red Veined Sorrel,Rumex sanguineus,ROOM-ex san-GWUN-us,Bloody dock,"Tart leaves have lemony taste that some have likend to the flavor of Kiwi fruit or strawberry. Used as potherb, in soups, salads, or to line baking vessel for fish. Add color and flavor contrast to microgreen blends. Same sharp, tangy flavor as regular sorrel. An elegant dessert garnish.",,28°,,"18""","18""",,"Best by: Rosemary, thyme, sage. Avoid planting by: beans, corn",55 days to harvest,Green & Red,Green & Red,,Heirloom; Open Pollinated; Organic seed; 26-30 Days to harvest for microgreens; Salads; Containers; Raised Beds; Can sometimes over-winter in zone 4,0,,,,,
1145,Herb of Grace Rue,Ruta graveolens,,,"Evergreen, somewhat shrubby plant, is a native of Southern Europe. Bright yellow flowers with blue-green foliage.",5,30°,,18-24”,14-18”,,,,,,,,4,,,,,
1146,Berggarten Gray Leaf Garden Sage,Salvia officinalis,,,This variety is known for its exceptionally tidy mounding habit and appearance. The extra large oval gray-green leaves add interest to any garden.,5,28°,,18-24”,18-24”,,,,,,,,4,,,,,
1147,Purpurea Purple Leaf Garden Sage,Salvia officinalis,,,This can be used just like regular Garden Sage. Foliage is wrinkled soft purple to green. Leaves are highly aromatic. It looks great planted with gray leaved plants like Lavender.,5,28°,,24-30”,24-36”,,,Early Summer,,,,,4,,,,,
1148,Robert Grimm Dwarf Garden Sage,Salvia officinalis,,,This can be used just like regular Garden Sage. Foliage is wrinkled soft purple to green. Leaves are highly aromatic. It looks great planted with gray leaved plants like Lavender.,5,28°,,6-8”,36-48”,,,Early Summer,,,,,4,,,,,
1149,Tricolor Variegated Leaf Garden Sage,Salvia officinalis,,,"Ornamental herb with green leaves and white, pink and purple markings. Blue flower spikes that bloom in summer.",5,28°,,18-24”,12-18”,,,Early Summer,,,,,4,,,,,
1150,Golden Variegated Garden Sage,Salvia officinalis Icterina,,,"This selection of the common sage serves double duty in the garden, as both a culinary herb and an ornamental. The fragrant green foliage is heavily splashed with golden-yellow, forming a low evergreen mound. Spikes of violet-blue flowers appear in early summer.",5,28°,,18-24”,10-12”,,,Early Summer,,,,,4,,,,,
1151,Black Beauty Eggplant,Solanum melongena,,,"Long prized for its unique taste and texture, eggplant is also loaded with vitamins, minerals and important phytonutrients, many which have antioxidant activity. Eggplant prefers a long warm season for best yields. This variety produces deep purplish-black oval fruit that is about 5 inches in diameter and 6 inches long. Plants are bushy and spreading. Fruit is high quality with an outstanding flavor. Disease tolerant.",,45°,,12-24”,12-24”,,,72-85 Days to harvest.,,,,,4,,,,,
1152,Adirondack Blue Potato,Solanum tuberosum,SO-lain-um tuber-OH-sum,,"Dark purple skin and flesh. High yields of large, oblong tubers with consistent, blue-violet flesh. Holds color when cooked. Deep eyes create a unique look. High in antioxidants.",,42°,,"24-36""","12-24""",,"Bush beans, celery, corn, garlic, marigolds, onions, and peas all do well planted near potatoes. Avoid planting potatoes near asparagus, Brassicas, carrots, cucumber, kohlrabi, melons, parsnips, rutabaga, squash, sunflower, and turnips.",90 days to harvest,Green,Green,White,Early Midseason; Gourmet; High Yields; Medium-large oblong tubers,0,,,,,
1153,Burbank Russett Potato,Solanum tuberosum,SO-lain-um tuber-OH-sum,Idaho Baking Spud,"large, dependable yields of uniform, oblong, large, brown-skinned spuds. Its white, dry, flaky flesh bakes up perfectly, making it an ideal potato. This late-season potato takes some time to mature—often 120 days. But many home gardeners find it worth the wait. Not only does this potato cook up beautifully, it stores well.",44629,42°,Easy,30-36”,24-30”,Moderate,"Bush beans, celery, corn, garlic, marigolds, onions, and peas all do well planted near potatoes. Avoid planting potatoes near asparagus, Brassicas, carrots, cucumber, kohlrabi, melons, parsnips, rutabaga, squash, sunflower, and turnips.",120 days to harvest,Green,Green,White,Late Season; Brown Skins; White Flesh; High Yields; Stores Well,0,,,,,
1154,Clancy Potato,Solanum tuberosum,,,,,40°,,,,,,,,,,,0,,,,,
1155,Pontiac Red Potato,Solanum tuberosum,SO-lain-um tuber-OH-sum,,"Solid tubers with thin red skins, shallow eyes and a crisp white flesh. They're also very attractive and flavorful at the new potato stage, so you may want to harvest a few then. Red Pontiac is one of the better performing potato varieties in heavy soils. It's no wonder this potato is a favorite among home gardeners year after year. This main season variety also stores well, so you can enjoy spuds into the cool months of fall and winter.",44629,42°,Easy,"24-36""","18-24""",Moderate,"Bush beans, celery, corn, garlic, marigolds, onions, and peas all do well planted near potatoes. Avoid planting potatoes near asparagus, Brassicas, carrots, cucumber, kohlrabi, melons, parsnips, rutabaga, squash, sunflower, and turnips.",80-100 Days to harvest,Green,Green,White,"Early Mid-Season; Thin, Red Skins; White Flesh; High Yields; Stores Well",0,,,,,
